DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-AdditionalDnsHostName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,physicalDeliveryOfficeName,telephoneNumber,givenName,department,userPrincipalName,mail
"CN=NTDS Quotas,DC=HAKAN,DC=LOCAL",msDS-QuotaContainer,"CN=NTDS Quotas,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5962,,5962,NTDS Quotas,X'd07be1666fe0444ea3917902f663eeb1',,,,,,,,,,,,,,,,,,,,,-2147483648,,"CN=ms-DS-Quota-Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,NTDS Quotas,Quota specifications container,TRUE,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Managed Service Accounts,DC=HAKAN,DC=LOCAL",container,"CN=Managed Service Accounts,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5963,,5963,Managed Service Accounts,X'cab303c8a59cba4399911e9cdd493f67',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,Managed Service Accounts,Default container for managed service accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WinsockServices,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=WinsockServices,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5824,,5824,WinsockServices,X'531d73a157da2f4ba4fed6ab1dbd46ce',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,WinsockServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RpcServices,CN=System,DC=HAKAN,DC=LOCAL",rpcContainer,"CN=RpcServices,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5825,,5825,RpcServices,X'b795424a0ab81a4296b0384e9c7ed213',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Rpc-Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,RpcServices,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=FileLinks,CN=System,DC=HAKAN,DC=LOCAL",fileLinkTracking,"CN=FileLinks,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5826,,5826,FileLinks,X'b0a09970b7cd07498e5c570dbf570a68',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=File-Link-Tracking,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,FileLinks,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=VolumeTable,CN=FileLinks,CN=System,DC=HAKAN,DC=LOCAL",linkTrackVolumeTable,"CN=VolumeTable,CN=FileLinks,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5827,,5827,VolumeTable,X'75a3c0a94aa36142ba93bb7e15a9b5a1',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Volume-Table,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,VolumeTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=HAKAN,DC=LOCAL",linkTrackObjectMoveTable,"CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5828,,5828,ObjectMoveTable,X'3b1a9c2ac5c7dc41ba573d5900ffc5fc',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Link-Track-Object-Move-Table,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ObjectMoveTable,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Default Domain Policy,CN=System,DC=HAKAN,DC=LOCAL",domainPolicy,"CN=Default Domain Policy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5829,,5829,Default Domain Policy,X'b66ebae75e89754ca22e3bcdd0d28f2a',,,,,,,,,,,,,,,,,,,,,,,"CN=Domain-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Default Domain Policy,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=HAKAN,DC=LOCAL",classStore,"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5830,,5830,AppCategories,X'e02b46b88bee7e4c827c836b03d40902',,,,,,,,,,,,,,,,,,,,,,,"CN=Class-Store,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,AppCategories,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Meetings,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=Meetings,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5831,,5831,Meetings,X'8910c286be18c741a89da5706005f61c',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Meetings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5832,,5832,Policies,X'0b3049a90c340742b33fbcdb10570ff2',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Policies,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",groupPolicyContainer,"CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175712.0Z,,5833,,12699,{31B2F340-016D-11D2-945F-00C04FB984F9},X'9aae180d25aacf449e39f9b1aef2cc69',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,{31B2F340-016D-11D2-945F-00C04FB984F9},,TRUE,,,Default Domain Policy,0,3,2,\\\\HAKAN.LOCAL\\sysvol\\HAKAN.LOCAL\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9},[{35378EAC-683F-11D2-A89A-00C04FBBCFA2}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}][{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}][{B1BE8D72-6EAC-11D2-A4EA-00C04F79F83A}{53D6AB1B-2488-11D1-A28C-00C04FB94F17}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5834,,5834,User,X'ea99ef6de30f67469e4245eb2d774ebf',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,16010101000000.0Z,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5835,,5835,Machine,X'5f4bb42da262bf4e961fb302c083d599',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,16010101000000.0Z,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",groupPolicyContainer,"CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5836,,5836,{6AC1786C-016F-11D2-945F-00C04fB984F9},X'390f99af861a9443b92fc3a39ab10bc5',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Group-Policy-Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,{6AC1786C-016F-11D2-945F-00C04fB984F9},,TRUE,,,Default Domain Controllers Policy,0,1,2,\\\\HAKAN.LOCAL\\sysvol\\HAKAN.LOCAL\\Policies\\{6AC1786C-016F-11D2-945F-00C04fB984F9},[{827D319E-6EAC-11D2-A4EA-00C04F79F83A}{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=User,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5837,,5837,User,X'79edd0dc63d4bd4e9e17c3087d5d38f9',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,16010101000000.0Z,,,,,,,,,,,,User,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=Machine,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5838,,5838,Machine,X'7040dd4aa73d2e42a51d1d9c68465c99',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,16010101000000.0Z,,,,,,,,,,,,Machine,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
